,_id,title,labels,price,mean_price,time,area,region,street,name,room_type,house_type,capacity
77,5e132cb381820b984b2ff2d0,前年花20万全新装修，送一个车位，产证齐全 可以过户,"['位置安静', '送车位', '近地铁']",25,7125元/m²,2012年建造,余杭,临平,兴起路518号,微时代城,2室2厅,中层(共11层),35m²
78,5e132cb381820b984b2ff2d1,东海闲湖城 一线湖景房出售 周边配套成熟 业主各种原因降价,"['南北通透', '景观房', '环境优美']",750,28846元/m²,2010年建造,余杭,闲林,天目山西路277号,东海闲湖城(别墅),5室2厅,共3层,260m²
79,5e132cb381820b984b2ff2d2,西湖区音乐学院旁，地铁口6号线300米，彩虹快速路口300米,"['新房房源', '南北通透', '环境优美']",78.6,18714元/m²,2018年建造,富阳,银湖,富闲路15号,德信奥体之星,2室1厅,中层(共17层),42m²
80,5e132cb381820b984b2ff2d3,江南之星 东边套 房东诚心，南北通透，楼层好采光佳，环境优美,[],499,40467元/m²,2018年建造,萧山,北干,"博奥路,近金惠路",江南之星,4室2厅,高层(共34层),123m²
81,5e132cb381820b984b2ff2d4,金辰之光 万科品质 三开间朝南 自住配软装 中上楼层 满两年,[],306,34316元/m²,2015年建造,萧山,北干,西兴路,万科金辰之光,3室2厅,中层(共34层),89m²
82,5e132cb381820b984b2ff2d5,恒大城市之光，东边套，纯毛坯刚需大三房，低首付送车位,"['次新小区', '交通便利', '素质住户']",249,27924元/m²,2018年建造,滨江,长河,"滨文路,近时代大道",万科城市之光,3室2厅,中层(共26层),89m²
83,5e132cb381820b984b2ff2d6,准新房 两房朝南 全明西边套 低总价 真心捡漏房，真实价格,"['近地铁', '南北通透']",330,36954元/m²,2013年建造,江干,三里亭,董家桥路276号,三里新城荷苑,2室2厅,中层(共24层),89m²
84,5e132cb381820b984b2ff2d7,不限购住宅 70年产权 精装两房 对口学校 包租4千 送车位,"['南北通透', '送车位', '近地铁']",63.5,8476元/m²,2014年建造,余杭,塘栖,市新街东侧,香雪园,2室2厅,高层(共11层),74m²
85,5e132cb381820b984b2ff2d8,橘苑三房西边套 采光很好 业主诚心价格可谈 有钥匙 南北通透,"['近地铁', '南北通透', '环境优美']",260,36445元/m²,2005年建造,江干,三里亭,"工农路,近顾家贩路",三里新城橘苑,3室1厅,高层(共6层),71m²
86,5e132cb381820b984b2ff2d9,保小电梯房精装修 70年住宅 看房方便,"['采光好', '交通便利', '繁华地段']",320,45734元/m²,2004年建造,西湖,黄龙,天目山路151号,丁香公寓,1室,低层(共16层),69m²
87,5e132cb381820b984b2ff2da,滨江宝龙广场，近地铁口，首付15万，精装拎包入住，外地人可买,"['送车位', '近地铁', '繁华地段']",72,21176元/m²,2015年建造,滨江,彩虹城,滨盛路3867号,滨江宝龙城市广场,2室2厅,中层(共18层),34m²
88,5e132cb381820b984b2ff2db,钱江新城 89方三房两厅两卫 地铁0租金高 交通方便急卖,"['两房朝南', '南北通透', '房型正']",228,25618元/m²,2012年建造,上城,近江,之江路968号,观澜郡亭公寓,3室2厅,高层(共18层),89m²
89,5e132cb381820b984b2ff2dc,无需社保 外地人可买落户 低于市价出售 好房源不可错过 精装,"['南北通透', '配套成熟', '次新小区']",80,14545元/m²,2015年建造,滨江,长河,滨文路115号,朗庭公馆,2室2厅,中层(共20层),55m²
90,5e132cb381820b984b2ff2dd,房东包所有税！良心房源 金都夏宫三房两卫 三开间好户型中间层,"['近地铁', '繁华地段', '品质小区']",197,22063元/m²,2017年建造,余杭,临平北,"北沙西路,近星河路",金都夏宫(公寓住宅),3室2厅,高层(共40层),89m²
91,5e132cb381820b984b2ff2de,良心房源 万悦城自住 精装小三房 底价诚售 经典户型看房预约,"['近地铁', '配套成熟', '品质小区']",170,18897元/m²,2016年建造,余杭,临平北,"东湖北路,近湖潭路",嘉丰万悦城(北区),3室2厅,高层(共27层),89m²
92,5e132cb381820b984b2ff2df,瓜沥公交总站对面，送20平米，就读瓜沥三小，看房随时方便！,"['房型正', '繁华地段', '品质小区']",185,20597元/m²,2016年建造,萧山,瓜沥,友谊路169号,郡乐苑,3室2厅,高层(共15层),89m²
93,5e132cb381820b984b2ff2e0,急售，复兴南苑，复兴北苑，精装小套，楼层，户型正气，朝南,"['近学校', '小户型', '拎包入住']",135,40059元/m²,1998年建造,上城,复兴,复兴路163号,复兴北苑,1室1厅,高层(共7层),33m²
94,5e132cb381820b984b2ff2e1,深夜挂牌，精修小三房，在等有缘人，来电送大润发一千元购物卡,"['南北通透', '送家电', '品质小区']",73,14513元/m²,2013年建造,江干,丁桥,笕丁支路70号,丁兰花苑,3室2厅,低层(共6层),50m²
95,5e132cb381820b984b2ff2e2,地铁口，70年产权不限购，外地人可购买，送价值18万产权车位,"['近学校', '送车位', '近地铁']",88.8,14334元/m²,2013年建造,余杭,临平,邱山大街532号,天都花园,2室2厅,中层(共8层),61m²
96,5e132cb381820b984b2ff2e3,急售！地铁口！独立产权可落户！送精装送车位！先到先得！！！,"['南北通透', '近地铁', '繁华地段']",63.3,11204元/m²,2016年建造,西湖,紫金港,古墩路598号,同人广场,2室2厅,中层(共13层),56m²
97,5e132cb381820b984b2ff2e4,好的房子不是用来欣赏的是用来享受的！！全新精装修 从未入住,"['配套成熟', '繁华地段', '品质小区']",60,10909元/m²,2014年建造,萧山,瓜沥,新安路18号,祥瑞家园,2室2厅,低层(共6层),55m²
98,5e132cb381820b984b2ff2e5,龙湖春江天玺 滨江奥体一路之隔 满两年 开发商精装修 方便看,['南北通透'],300,33852元/m²,2017年建造,萧山,开发区,"博奥路,近建设四路",龙湖春江天玺(公寓住宅),3室2厅,高层(共34层),88m²
99,5e132cb381820b984b2ff2e6,朝晖罕见环保装修，家具地板全实木原料，精装西边套，看中可谈价,"['近地铁', '近学校', '南北通透']",195,28744元/m²,1996年建造,下城,朝晖,文晖路146号,朝晖二小区,3室2厅,共5层,67m²
100,5e132cb381820b984b2ff2e7,地铁3站到西湖 7站到滨江 银湖地铁口 来电立减20000元,"['新房房源', '近地铁', '配套成熟']",80,19048元/m²,2018年建造,富阳,银湖,富闲路15号,德信奥体之星,2室1厅,高层(共11层),42m²
101,5e132cb381820b984b2ff2e8,外地人可买！不限购！精装 家电全抛！拎包入住！对口重点校区！,"['南北通透', '环境优美']",50,8333元/m²,2013年建造,余杭,临平北,星光街1379号,双林小区,2室2厅,中层(共10层),60m²
102,5e132cb381820b984b2ff2e9,东渡酩悦包租9000每月，火车头造型，诚售啊，看房找我,"['新房房源', '南北通透']",130,26000元/m²,2019年建造,江干,火车东站 ,"东宁路,近鸿泰路",东渡酩悦,2室2厅,中层(共16层),50m²
103,5e132cb381820b984b2ff2ea,西溪诚园  开发商精装修 有车位 业主诚心出售,"['主卧朝南', '独立电梯', '品质小区']",520,59246元/m²,2015年建造,西湖,西溪,"双龙街,近崇仁路",西溪诚园致诚苑,2室2厅,低层(共12层),87m²
104,5e132cb381820b984b2ff2eb,真实好房，大江东核心区 低于周边，义盛盛都苑128方167万,[],167,13099元/m²,2010年建造,钱塘新区,大江东,义前路129号,盛都苑,3室2厅,高层(共6层),127m²
105,5e132cb381820b984b2ff2ec,新出 宝龙旁 高运莱茵传奇 89方精装修 满两年 看房方便,['南北通透'],270,32059元/m²,2016年建造,萧山,开发区,"建设一路,近青年路",高运莱茵传奇,3室2厅,中层(共16层),84m²
106,5e132cb381820b984b2ff2ed,急急急！70年产权 可落户上学 精装修 带一个车位 交通便利,"['拎包入住', '素质住户', '品质小区']",92,15333元/m²,2013年建造,西湖,西溪,"文一西路,近长深高速",水岸花苑,2室2厅,中层(共8层),60m²
107,5e132cb381820b984b2ff2ee,精装loft公寓房中间楼层得房率高，核心地段地铁口看房有钥匙,"['非顶楼', '送家电', '配套成熟']",32,7619元/m²,2016年建造,萧山,钱江世纪城,南虹路16号,宝盛商住楼,2室1厅,中层(共36层),42m²
108,5e132cb381820b984b2ff2ef,东厦东港花苑 新上房源 精装满二 诚心出售 有车位 多方朝南,['南北通透'],175,22057元/m²,2013年建造,余杭,临平北,"星河路,近北沙西路",东厦东港,2室2厅,低层(共11层),79m²
109,5e132cb381820b984b2ff2f0,新上 玲珑香榭 精装修 满两年 基本拎包入住 就卖这几天,['南北通透'],152,16833元/m²,2016年建造,余杭,临平北,杭机路6,玲珑香榭,2室2厅,高层(共24层),90m²
